Subject,all-Entries,male-entries,female-entries,male-level2,female-level2,male-level3,female-level3,male-level4,female-level4,male-level5,female-level5,male-level6,female-level6
Acting and Performance,127,48,79,,,,,,,,,48,79
Administration: Information Technology and Audio,87,11,76,,,,,,,11,76,,
Administration: Office Skills and Services,84,20,64,,,,,,,20,64,,
Angling and the Aquatic Environment,37,37,0,,,37,0,,,,,,
Art and Design: Digital Media,23,14,9,,,,,,,,,14,9
Bakery,212,68,144,,,,,68,144,,,,
Beauty and Digital Communication,137,1,136,,,,,1,136,,,,
Building Services Engineering,68,68,0,,,,,,,68,0,,
Business with Information Technology,129,64,65,,,,,,,56,51,8,14
Computer Games Development,1586,1392,194,,,,,391,60,758,112,243,22
Conservation of Masonry,44,44,0,,,,,,,,,44,0
Construction,2126,2022,104,,,,,,,2022,104,,
Cosmetology,479,19,460,,,,,19,460,,,,
Creative Beauty,96,1,95,,,,,1,95,,,,
Creative Facial Techniques and Digital Media,130,1,129,,,,,1,129,,,,
Dance,392,13,379,,,,,1,83,12,296,,
Digital Literacy,95,57,38,,,57,38,,,,,,
Digital Media Basics,117,85,32,,,,,85,32,,,,
Digital Media Editing,98,70,28,,,,,,,70,28,,
Digital Media Production,31,17,14,,,,,,,,,17,14
Enterprise and Employability,1311,611,700,,,,,380,406,231,294,,
Exercise and Fitness Leadership,476,376,100,,,,,,,,,376,100
Health and Social Care: Promoting Reablement,108,11,97,,,,,,,,,11,97
Horse Care,22,3,19,,,,,,,,,3,19
Introduction to Spectator Safety,866,764,102,,,,,,,764,102,,
Legal Studies,25,4,21,,,,,,,,,4,21
Music Business,19,14,5,,,,,,,,,14,5
Musical Theatre,56,13,43,,,,,,,,,13,43
PC Passport: Advanced,26,17,9,,,,,,,,,17,9
PC Passport: Beginner,321,191,130,,,,,191,130,,,,
PC Passport: Intermediate,427,250,177,,,,,,,250,177,,
Play in a Sports Environment,114,66,48,,,,,,,,,66,48
Playwork and Childcare,424,17,407,,,,,,,17,407,,
Professional Cookery,28,13,15,,,13,15,,,,,,
Professional Theatre Preparation,34,10,24,,,,,,,,,10,24
Rural Skills,73,54,19,,,,,,,54,19,,
Scottish Bagpipes,199,164,35,107,14,26,15,,,,,31,6
Scottish Pipe Band Drumming,60,55,5,,,55,5,,,,,,
Sound Production: Live,50,41,9,,,,,,,,,41,9
Sound Production: Recording,117,97,20,,,,,,,,,97,20
Sport and Fitness: Team Sports,100,71,29,,,,,,,71,29,,
Sporting Events: Personal Best,95,76,19,,,,,76,19,,,,
Sports Coaching: Badminton (UKCC Level 1),135,90,45,,,,,90,45,,,,
Sports Coaching: Basketball (UKCC Level 1),120,79,41,,,,,79,41,,,,
Sports Coaching: Canoeing (UKCC Level 1),205,147,58,,,,,147,58,,,,
Sports Coaching: Hockey (UKCC Level 1),86,38,48,,,,,38,48,,,,
Sports Coaching: Netball (UKCC Level 1),97,1,96,,,,,1,96,,,,
Sports Coaching: Paddlesport Canoe (UKCC Level 2),79,54,25,,,,,,,54,25,,
Sports Coaching: Rugby Union (UKCC Level 1),238,208,30,,,,,208,30,,,,
Sports Coaching: Rugby Union (UKCC Level 2),175,173,2,,,,,,,173,2,,
Sports Coaching: Swimming,129,61,68,,,,,61,68,,,,
Sports Coaching: Teaching Aquatics (UKCC Level 1),627,261,366,,,,,261,366,,,,
Sports Coaching: Teaching Aquatics (UKCC Level 2),116,33,83,,,,,,,33,83,,
Sports Coaching: Tennis (UKCC Level 1),172,112,60,,,,,112,60,,,,
Sports Coaching: Tennis (UKCC Level 2),88,66,22,,,,,,,66,22,,
Sports Development,100,70,30,,,,,,,,,70,30
Supply Chain Operations,108,64,44,,,,,,,64,44,,
Water Operations,21,18,3,,,,,,,,,18,3
Web Design Fundamentals,263,221,42,,,,,,,221,42,,
